,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
201,-5480991055990.388,-1137265084063.3713,226764219332.06488,1,0.0720703008656966
202,-5715609297025.529,-1136933942602.6216,221327279090.5072,1,0.07167576158415201
203,-5929807364993.556,-1123376015940.9749,221151047058.68683,1,0.07286698556103555
204,-6148298632293.851,-1074500304023.6964,204136020218.32623,1,0.07486769883288574
205,-6350542498541.85,-1018816159936.0552,171959813324.56818,1,0.07639740648442839
206,-6530518092474.408,-933147222735.7866,132817203581.57431,1,0.07716703030925237
207,-6698071370906.431,-881809066045.9902,72338630687.57417,1,0.07164287851271589
208,-6850073576502.722,-861855737660.977,19775800822.943687,1,0.06694183096853851
209,-6980318582462.465,-834288903663.678,1931936394.6572287,1,0.07248854946419092
210,-7056739032682.947,-654781024357.9628,-2154602331.020341,1,0.075062286723318
211,-6992896970527.074,-224972669218.99744,-20200467196.842163,1,0.07994464981243121
212,-6777076959201.299,246533491468.01923,-96134137640.98372,1,0.06786927877774107
213,-6361943364793.207,780704316700.5685,-211633903787.29037,1,0.0761516396797326
214,-5645289801027.136,1610093752965.2427,-301982519649.55286,1,0.06924237504865893
215,-4712833997479.519,2314625754875.344,-464144686891.25323,1,0.07669172223341242
216,-3491772831128.907,2989923568570.7104,-667705712766.7355,1,0.08329381228258392
217,-2015851081242.324,3561465593672.478,-742159748119.0225,1,0.08676692826629612
218,-389570890194.24634,3891607038120.396,-850732847893.165,1,0.08595499861036388
219,1516745054690.5059,4499801856135.181,-906586227772.6888,1,0.07247392091283655
220,3708877048995.8853,5027804786723.98,-881884135207.7871,1,0.06449372069561843
221,6106134437474.701,5502036198790.507,-953400683703.2863,1,0.059817294415882405
222,8890685436723.656,6323352317240.111,-897356409545.007,1,0.05317380106743491
223,12124552280759.45,7364415477406.117,-811517130179.8993,1,0.04568926603218065
224,15644602505566.418,8301802043954.223,-896048060780.2891,1,0.03496427054801737
225,19397502722556.746,8767830591247.147,-868105414412.9965,1,0.029014312091021954
226,22533717274755.684,7744063128293.067,-728986000011.6836,1,0.010889635504308826
227,25075491536338.58,6040930264732.308,-429786882880.8516,1,0.0201062437653986
228,26688049751153.57,3695755439421.953,-32556702165.28129,1,0.020053826227178495
229,27939073430986.934,1525256152815.3447,387686077234.6117,1,0.01627279713624291
230,28674625122092.418,-209008243289.55936,708445451678.9263,1,0.014399309815068928
231,29160485629302.57,-1552062446902.9602,921926256959.794,1,0.018942160530645347
232,29577018025888.895,-2208453487427.395,1146492919827.6675,1,0.02509129665516424
233,30001494161871.926,-2448280984757.6523,1302439708440.654,1,0.007724163752560631
234,30529003061310.203,-2226211314832.558,1323546902974.4543,1,0.020609785944065373
235,31130047508101.04,-2054401651853.9246,1263661298061.2754,1,0.019201733080298822
236,31711602381389.367,-2059362134684.405,1164246795985.9053,1,0.013304274519285786
237,32335102640048.29,-1962865199595.555,1149976522853.5532,1,0.017196672425597914
238,32933062404974.36,-1991636291717.1013,1165487174154.6895,1,0.031039816045982715
239,33581200234846.58,-1991962999940.0137,1153562222149.932,1,0.030522549188279235
240,34307491817901.543,-1984359702271.2888,1182537199774.37,1,0.02018396982833931
